specimen_id,analytical_stratum,donor_id,sex,age,genotype,hemisphere,source_structure,acquisition_wave,recording_selections,glif_model_id,perisomatic_model_id,recording_wkf_id
314822529,method_development,313403626,Male,P53,Rorb-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,left,VISp5,wave_0_anchor_reuse,Long Square (sweep 44); Short Square (sweep 17); Short Square - Triple (sweep 75); Square - 2s Suprathreshold (sweep 66),566282269,471087975,491202285
324493977,evaluation,322489543,Male,P54,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,right,VISp2/3,wave_1,Long Square (sweep 46); Short Square (sweep 16); Short Square - Triple (sweep 69); Long Square (sweep 37),566284334,472304676,491200139
473943881,evaluation,472963252,Female,P63,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,left,VISp2/3,wave_2,Long Square (sweep 41); Short Square (sweep 16); Short Square - Triple (sweep 77); Long Square (sweep 49),566305790,476679102,496390193
471087830,evaluation,469953343,Male,P55,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,left,VISp6a,wave_1,Long Square (sweep 49); Short Square (sweep 15); Short Square - Triple (sweep 90); Long Square (sweep 48),566303365,478513441,491200235
475585413,evaluation,475544273,Male,P59,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,right,VISp1,wave_2,Long Square (sweep 40); Short Square (sweep 12); Short Square - Triple (sweep 70); Long Square (sweep 32),566307065,478045081,491201503
464188580,evaluation,418778036,Female,P59,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,left,VISp2/3,wave_3_fallback,Long Square (sweep 39); Short Square (sweep 19); Short Square - Triple (sweep 82); Long Square (sweep 47),566295639,472421285,491198384
