case_number,specimen_id,sweep_number,recording_selection,model_condition,metric,value,status,non_evaluable_reason,non_evaluable_category,applicability_rule
60,475585413,32,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
60,475585413,32,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,16.111433120093054,calculated,,calculated,long_square_coverage_contract
61,464188580,39,long_square_first_spiking,glif_stored_grid,absolute_spike_count_error,4,calculated,,calculated,unconditional
61,464188580,39,long_square_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
61,464188580,39,long_square_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,4.556357249582699,calculated,,calculated,long_square_coverage_contract
62,464188580,39,long_square_first_spiking,glif_recording_grid,absolute_spike_count_error,4,calculated,,calculated,unconditional
62,464188580,39,long_square_first_spiking,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
62,464188580,39,long_square_first_spiking,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,4.55635724958614,calculated,,calculated,long_square_coverage_contract
63,464188580,39,long_square_first_spiking,perisomatic_recording_grid_playback,absolute_spike_count_error,4,calculated,,calculated,unconditional
63,464188580,39,long_square_first_spiking,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
63,464188580,39,long_square_first_spiking,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,8.651293543096267,calculated,,calculated,long_square_coverage_contract
64,464188580,19,short_square_first_spiking,glif_stored_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
64,464188580,19,short_square_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
64,464188580,19,short_square_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
65,464188580,19,short_square_first_spiking,glif_recording_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
65,464188580,19,short_square_first_spiking,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
65,464188580,19,short_square_first_spiking,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
66,464188580,19,short_square_first_spiking,perisomatic_recording_grid_playback,absolute_spike_count_error,0,calculated,,calculated,unconditional
66,464188580,19,short_square_first_spiking,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
66,464188580,19,short_square_first_spiking,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
67,464188580,82,short_square_triple_first_spiking,glif_stored_grid,absolute_spike_count_error,2,calculated,,calculated,unconditional
67,464188580,82,short_square_triple_first_spiking,glif_stored_grid,absolute_first_spike_latency_error_ms,6.7168772859056425,calculated,,calculated,conditional_on_recording_and_model_spikes
67,464188580,82,short_square_triple_first_spiking,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
68,464188580,82,short_square_triple_first_spiking,glif_recording_grid,absolute_spike_count_error,2,calculated,,calculated,unconditional
68,464188580,82,short_square_triple_first_spiking,glif_recording_grid,absolute_first_spike_latency_error_ms,6.7244318155821325,calculated,,calculated,conditional_on_recording_and_model_spikes
68,464188580,82,short_square_triple_first_spiking,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
69,464188580,82,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_spike_count_error,1,calculated,,calculated,unconditional
69,464188580,82,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,0.33000000516869576,calculated,,calculated,conditional_on_recording_and_model_spikes
69,464188580,82,short_square_triple_first_spiking,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,,non_evaluable,not_applicable_to_protocol,protocol_structural,long_square_coverage_contract
70,464188580,47,long_square_prethreshold_candidate,glif_stored_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
70,464188580,47,long_square_prethreshold_candidate,glif_stored_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
70,464188580,47,long_square_prethreshold_candidate,glif_stored_grid,absolute_steady_state_delta_voltage_error_mV,4.4188530180202665,calculated,,calculated,long_square_coverage_contract
71,464188580,47,long_square_prethreshold_candidate,glif_recording_grid,absolute_spike_count_error,0,calculated,,calculated,unconditional
71,464188580,47,long_square_prethreshold_candidate,glif_recording_grid,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
71,464188580,47,long_square_prethreshold_candidate,glif_recording_grid,absolute_steady_state_delta_voltage_error_mV,4.418853018023708,calculated,,calculated,long_square_coverage_contract
72,464188580,47,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_spike_count_error,0,calculated,,calculated,unconditional
72,464188580,47,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_first_spike_latency_error_ms,,non_evaluable,no_in_window_spike,conditional_spike_absence,conditional_on_recording_and_model_spikes
72,464188580,47,long_square_prethreshold_candidate,perisomatic_recording_grid_playback,absolute_steady_state_delta_voltage_error_mV,8.431181507350754,calculated,,calculated,long_square_coverage_contract
